tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
80919,0.1081543,-387.2937,-87.17411,-1704.8656,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80920,0.1081543,-388.59656,-87.019615,-1706.2053,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80921,0.1081543,-389.89502,-86.86512,-1707.5493,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80922,0.1081543,-391.18903,-86.68007,-1708.8976,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80923,0.1081543,-392.47845,-86.43288,-1710.2502,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80924,0.1081543,-393.76282,-86.10844,-1711.6077,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80925,0.09269714,-395.04218,-85.76855,-1712.9698,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80926,0.09269714,-396.3164,-85.5217,-1714.3368,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80927,0.09269714,-397.51282,-85.3672,-1715.709,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80928,0.09269714,-398.46448,-85.289955,-1717.0878,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80929,0.09269714,-399.16626,-85.19726,-1718.4675,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80930,0.09269714,-399.6775,-85.05821,-1719.8474,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80931,0.09269714,-400.01318,-84.749565,-1721.227,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80932,0.07723999,-400.1872,-84.64142,-1722.606,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80933,0.07723999,-400.2127,-84.64142,-1723.9844,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80934,0.07723999,-400.1018,-84.64142,-1725.3624,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80935,0.07723999,-399.86536,-84.64142,-1726.74,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80936,0.07723999,-399.51355,-84.64142,-1728.1171,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80937,0.07723999,-399.0559,-84.64142,-1729.4938,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80938,0.07723999,-398.50092,-84.64142,-1730.87,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80939,0.07723999,-397.97473,-84.64142,-1732.3082,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80940,0.07723999,-397.47504,-84.64142,-1733.8035,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80941,0.07723999,-396.99957,-84.64142,-1735.3511,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80942,0.07723999,-396.5465,-84.64142,-1736.9468,-167.97034,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80943,0.07723999,-396.11414,-84.64142,-1738.5864,-168.00482,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80944,0.07723999,-395.70062,-84.64142,-1740.2665,-168.04272,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80945,0.061798096,-395.3047,-84.68777,-1741.9838,-168.08386,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80946,0.0154418945,-394.9253,-84.81102,-1743.7351,-168.12793,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80947,0.0,-394.562,-85.08911,-1745.518,-168.17493,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80948,0.0,-394.21405,-85.41355,-1747.3301,-168.22449,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80949,0.0,-393.88135,-85.69164,-1749.169,-168.27667,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80950,-0.0154418945,-393.56555,-85.87669,-1751.0109,-168.33044,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80951,-0.0154418945,-393.26526,-85.89214,-1752.8553,-168.38574,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80952,-0.0154418945,-392.9792,-85.89214,-1754.702,-168.44238,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80953,-0.0154418945,-392.70605,-85.89214,-1756.5507,-168.50024,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80954,-0.0154418945,-392.44446,-85.89214,-1758.401,-168.55927,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80955,-0.0154418945,-392.24542,-85.90759,-1760.2354,-168.62311,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80956,-0.0154418945,-392.17432,-85.90759,-1762.0529,-168.69757,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80957,-0.030899048,-392.2489,-85.90759,-1763.8512,-168.78412,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80958,-0.0463562,-392.43152,-85.861244,-1765.6353,-168.87964,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80959,-0.061798096,-392.7132,-85.830345,-1767.4064,-168.9834,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80960,-0.07723999,-393.02832,-85.75344,-1769.1802,-169.09021,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80961,-0.09269714,-393.30566,-85.69164,-1770.9833,-169.195,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80962,-0.12359619,-393.5387,-85.583496,-1772.8206,-169.29736,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80963,-0.13903809,-393.73877,-85.4908,-1774.6786,-169.39777,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80964,-0.20083618,-393.9065,-85.35175,-1776.5398,-169.49536,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80965,-0.23175049,-394.04462,-85.24361,-1778.4034,-169.59052,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80966,-0.26263428,-394.15552,-85.15091,-1780.2689,-169.68323,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80967,-0.27809143,-394.24237,-85.12001,-1782.1356,-169.77393,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80968,-0.27809143,-394.30725,-85.08911,-1784.0033,-169.86273,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80969,-0.29354858,-394.35223,-85.05821,-1785.8715,-169.94977,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80970,-0.30899048,-394.37952,-85.01186,-1787.74,-170.03522,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
