pitch,yaw,tick,steamid,kill_event_id,segment_number,segment_id
-4.553833,178.69812,22370,76561198389634571,4,1,4_1
-4.553833,178.69812,22371,76561198389634571,4,1,4_1
-4.553833,178.69812,22372,76561198389634571,4,1,4_1
-4.553833,178.69812,22373,76561198389634571,4,1,4_1
-4.487915,178.76404,22374,76561198389634571,4,1,4_1
-4.487915,178.76404,22375,76561198389634571,4,1,4_1
-4.487915,178.76404,22376,76561198389634571,4,1,4_1
-4.4659424,178.76404,22377,76561198389634571,4,1,4_1
-4.4439697,178.78601,22378,76561198389634571,4,1,4_1
-4.4000244,178.80798,22379,76561198389634571,4,1,4_1
-4.4000244,178.80798,22380,76561198389634571,4,1,4_1
-4.4000244,178.83029,22381,76561198389634571,4,1,4_1
-4.4000244,178.83029,22382,76561198389634571,4,1,4_1
-4.4000244,178.83029,22383,76561198389634571,4,1,4_1
-4.4000244,178.83029,22384,76561198389634571,4,1,4_1
-4.4000244,178.83029,22385,76561198389634571,4,1,4_1
-4.4000244,178.83029,22386,76561198389634571,4,1,4_1
-4.4000244,178.83029,22387,76561198389634571,4,1,4_1
-4.4000244,178.83029,22388,76561198389634571,4,1,4_1
-4.4000244,178.83029,22389,76561198389634571,4,2,4_2
-4.3780518,178.80798,22390,76561198389634571,4,2,4_2
-4.24588,178.1701,22391,76561198389634571,4,2,4_2
-3.9818573,176.76212,22392,76561198389634571,4,2,4_2
-3.1239014,172.20828,22393,76561198389634571,4,2,4_2
-1.4958496,163.89197,22394,76561198389634571,4,2,4_2
0.44013977,151.74799,22395,76561198389634571,4,2,4_2
2.0238953,139.71417,22396,76561198389634571,4,2,4_2
3.5859985,126.1402,22397,76561198389634571,4,2,4_2
5.543976,104.338196,22398,76561198389634571,4,2,4_2
6.401947,86.40814,22399,76561198389634571,4,2,4_2
6.5560913,78.312256,22400,76561198389634571,4,2,4_2
6.4239197,60.184143,22401,76561198389634571,4,2,4_2
5.0159454,41.572266,22402,76561198389634571,4,2,4_2
4.048126,35.412018,22403,76561198389634571,4,2,4_2
3.0360107,30.726013,22404,76561198389634571,4,2,4_2
2.5519104,28.614227,22405,76561198389634571,4,2,4_2
2.5519104,28.614227,22406,76561198389634571,4,2,4_2
2.5519104,28.614227,22407,76561198389634571,4,2,4_2
2.5519104,28.614227,22408,76561198389634571,4,2,4_2
2.5519104,28.614227,22409,76561198389634571,4,2,4_2
2.5519104,28.614227,22410,76561198389634571,4,2,4_2
2.5519104,28.614227,22411,76561198389634571,4,2,4_2
2.5519104,28.614227,22412,76561198389634571,4,2,4_2
2.5519104,28.614227,22413,76561198389634571,4,2,4_2
2.5519104,28.614227,22414,76561198389634571,4,2,4_2
2.5519104,28.614227,22415,76561198389634571,4,2,4_2
2.5519104,28.614227,22416,76561198389634571,4,2,4_2
2.5519104,28.614227,22417,76561198389634571,4,2,4_2
2.5519104,28.614227,22418,76561198389634571,4,2,4_2
2.5519104,28.614227,22419,76561198389634571,4,2,4_2
2.3761292,28.658173,22420,76561198389634571,4,2,4_2
