tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
25620,8.806915,442.45947,-89.32606,-15.608093,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25621,8.806915,441.95132,-89.32606,-17.279419,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25622,8.806915,441.49316,-89.32606,-18.965149,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25623,8.806915,441.0805,-89.32606,-20.662598,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25624,8.806915,440.70917,-89.32606,-22.369568,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25625,8.806915,440.3755,-89.32606,-24.08429,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25626,8.806915,440.07593,-89.32606,-25.805298,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25627,8.806915,439.8065,-89.32606,-27.53125,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25628,8.806915,439.5638,-89.32606,-29.26117,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25629,8.806915,439.34503,-89.32606,-30.994263,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25630,8.806915,439.14734,-89.29447,-32.72992,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25631,8.806915,438.9696,-89.26254,-34.61316,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25632,8.806915,438.8098,-89.26254,-36.631897,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25633,8.806915,438.6666,-89.26254,-38.77533,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
