tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
40064,-6.820099,-654.79974,-34.27289,-1582.0303,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40065,-6.3250427,-654.2025,-36.995422,-1581.1294,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40066,-5.390167,-653.46295,-43.375397,-1580.1035,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40067,-4.6750183,-652.56085,-50.470505,-1578.9774,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40068,-3.8774872,-651.4778,-61.71776,-1577.8059,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40069,-3.3274841,-650.20557,-73.597755,-1576.648,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40070,-2.8324127,-648.74994,-83.333015,-1575.5505,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40071,-2.062683,-647.12695,-98.59543,-1574.5854,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40072,-1.2651367,-645.36694,-111.272964,-1573.8035,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40073,-0.6049347,-643.4983,-119.35787,-1573.2266,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40074,0.65986633,-641.55927,-127.910385,-1572.86,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40075,1.4573975,-639.7769,-129.67026,-1572.5228,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40076,1.4573975,-638.14734,-129.67026,-1572.2144,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40077,1.4573975,-636.6617,-129.67026,-1571.8868,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40078,1.4573975,-635.5121,-129.67026,-1571.4047,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
